,fleet,problem_log,corrective_action,delay_code,station_delay_minutes,d&c_category,ata4_code,ata4_desc
21743,B737-900ER,RED RETAINING LEVER IN FORWARD GALLEY BROKEN.CAPT'S ID INVALID #268013.,INSTALLED NEW LATCH AT POSITION 107 IN FWD GALLEY PER IFM 25-38-333.,TL,23,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21744,B737-900ER,EYEBALL VENT LEFT SIDE COCKPIT CEILING STUCK.,R&R EYEBALL VENT IN LH CEILING OF COCKPIT. OPS CHECK NORMAL. PLACARD REMOVED. OK TO CONTINUE IN SERVICE.,TF,13,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21745,B737-900ER,SPARE DEMO BAG MISSING,REPLACED DEMO BAG,TA,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21746,B737-900ER,FWD GALLEY COFFEE MAKER POS 106 LLEAKING,REMOVED AND REPLACED COFFEE MAKER CHECKED FOR LEAKS NO LEAKS FOUND BLEED COFFE AIR OUT OF COFFE MAKER NO DEFECTS FOUND OPS NORMAL WORK PERFORMED BY EMP 74205,TF,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21747,B737-900ER,SEAT 8E BOTTOM SOILED.,REPLACED 8E SEAT COVER.,TL,12,Delay 6-15mins,2520,PASSENGER COMPARTMENT
21777,B737-900ER,SEAT 5B ARMREST INOP,ADJUSTED ARMREST AT SEAT 5B,TA,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21778,B737-900ER,TO REPORT DELAY ONLY- CLOGGED LAV SINK,DELAY REPORTED- SINK UNCLOGGED,TL,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21779,B737-900ER,SEAT CUSHION 38 B/D SOILED,REPLACED SEAT CUSHIONS AT 38 B/D PLAC. REMOVED,TL,9,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21780,B737-900ER,WINDSHIELD NEEDS CLEANING.,CLEANED WINDSHIELD. A/C OK TO CONTINUE.,TL,19,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21781,B737-900ER,SEAT 8D IS STUCK IN RECLINE POSITION. REPORTED BY B3713,REMOVED AND REPLACED HYDROLOCK AT 8D OPS CK OK,TL,18,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21782,B737-900ER,F/O OXYGEN MASK OXYGEN ON FLAG REMAINS IN VIEW EVEN WHEN O2 NOT BEING USED,RESTOWED MASK BY U113859,TA,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21783,B737-900ER,FWD COFFEE MAKER LEAKING.,RESEATED COFFEE POT OPS CHECKS GOOD.,TL,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21784,B737-900ER,LATCH AT POSITION 411 IS MISSING.,REPLACED LATCH AT 411. OPS CK GOOD.,TL,4,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21785,B737-900ER,F/O OXYGEN MASK WHITE RESET FLAG INDICATES OXYGENON AND WOULD NOT RESET...,R & R F/O MASK O2 STOWAGE BOX PER AMM 35-12-85-400-801.OK FOR SERVICE. ATA 25 USED IN ERROR BY MX CONTROL...,TA,72,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21786,B737-900ER,ARMREST NEEDS REPAIR FOR SEAT 5B. PIECE TNAT FELL OFF ISON CENTER CONSOLE IN COCKPIT...,REPLACED ARMREST. OK FOR SERVICE...,TA,46,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21787,B737-900ER,5B SILVER ARM PICE LOSE,SECURED SILVER ARM CAP SEAT 5B,TF,30,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21788,B737-900ER,SEATS 30C AND 31A WONT STAY UPRIGHT POSITION.,ADJUSTED RECLINE CONTROL BUTTONS AT SEATS 30C & 31A. RECLINECK'D NORMAL. PLA REMOVED.,TF,26,Delay>15mins,2520,PASSENGER COMPARTMENT
21789,B737-900ER,CATERER REPORTS: AFT GALLEY TRASH COMPARTMENT DOOR 402 FELL OFF,RE-INSTALLED AFT GALLEY TRASH COMPT DOOR #402. OPS CK'D NORMAL.PLACARD REMOVED.,TF,5,Delay 0-5mins,2530,GALLEYS
21790,B737-900ER,COFFEE MAKER AT LOCATION 420 IN AFT GALLEY DOESNT BREW (NO WATER),"REPLACED COFFEE MAKER AT LOCATION 420. OP CK GOOD REF AMM 25-30-00ROTABLE PARTS CHANGE WAS INDICATED - TT # 1670801  SN OFF 00476COFFEEMAKER, A/  OFF 29-2599-9-0001 0476 ON 29-2599-9-0001 8412",TA,8,Delay 6-15mins,2530,GALLEYS
21829,B737-900ER,FO SEAT NOT WORKING PROPERLY,ADJUSTED VERTICAL ADJUSTMENT CABLE.SEAT OPS OK.AMM 25-11-01-200-808.,TF,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21830,B737-900ER,SEAT 15B SOILED.,REPLACED CUSHION & COVER.,TF,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21831,B737-900ER,TRASH BIN BI-FOLD DOOR #402 HAS BROKEN AWAY FROM SEALANT IN AFT CHANNEL. (AFT GALLEY),REBONDED DOOR HINGE/TRIM AND REINSTALLED DOOR BACK ON THE AIRCRAFT...OK TO CONTINUE,TL,25,Delay>15mins,2530,GALLEYS
21857,B737-900ER,EXPOSED WIRES UNDER SEAT 1E.,INSTALLED NEW RETAINING CLIPS FOR COVER FASTENERS COVER SECURED NO WIRES SHOWING.,TF,62,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21858,B737-900ER,4A LIFE VEST POUCH INOP - NEEDS REPLACING,REMOVED PLA SEAT 4A.  SEE L/P 8165389.,TF,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21859,B737-900ER,"F/O,S SEATBELT BUCKLE MECHANISMNEEDS ADJUSTMENT.","REMOVED & REPLACED F/O,S SEAT BELT BUCKLE.OP,S CHECK GOOD PER AMM TASK 25-11-00",TA,19,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21860,B737-900ER,COPILOT'S SEAT: RIGHT SHOULDER HARNESS WILL NOT RELEASE.,FOUND RT SHOULDER HARNESS LOCKED BETWEEN INERTIA PAWS. RELEASEDHARNESS FROM INERTIA REEL AND OPERATED PER AMM 25-11-00-200-801BOTH REELS NOW FUNCTION W/NO DEFECTS.,TA,45,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21861,B737-900ER,WATER LEAK AFT GALLEY,REMOVED BOTH AFT GALLEY COFFEE MAKERS. CLEANED AND UNCLOGGED. DRAINED NORMAL. REF: AMM 25-00-00,TA,42,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21896,B737-900ER,ITEM ENTERED FOR DELAY - LIFE VEST MISSING AT SEAT 29F,JUF ENTERED,TG,70,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21897,B737-900ER,SEAT BOTTOM 8B AND SEAT BELT CHCHOLATE ON FABRIC,REPLACED SEAT BOTTOM AND CLEANED SEAT BELT,TA,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21898,B737-900ER,COFFEE MAKER #105 LEAKING FROM VENT TUBES.,REPLACED COFFEE MAKER PER IFM 25-33-05 . OK FOR SERVICEROTABLE PARTS CHANGE WAS INDICATED - TT # 1710685  SN OFF 00319IPC REFERENCE #IPC REFERENCE #,TL,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21899,B737-900ER,SEAT CUSHION 36D SOILED,"REMOVED AND REPLACED SEAT CUSHION AT SEAT 36D, OPS CHECK GOOD.CORRECTED BY EMP#SM245 NOT RECOGNIZED IN SCEPTRE.",TL,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21900,B737-900ER,BLOOD PRESSURE KIT USED INFLIGHT REPORTD BY U22754,REPLACED BLOOD PRESSURE KIT,TA,22,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21901,B737-900ER,CAPTS CROTCH STRAP FELL OUT 6 TIMEW DURING FLIGHT.WILL NOT STAYENGAGED.NUT PLATE BROKEN ON SEAT-REQUIRES SERVICABLE CAPTAINS SEAT ASSY.,"R/R CAPTAINS SEAT PER AMM TASK 25-11-01-400-801.OPS CKS GOOD.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1557615  SN OFF 00838SEAT, CREW, CAP  OFF 29-2510-9-0004 0838 ON 29-2510-9-0004 9274",TS,174,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21902,B737-900ER,INBOUND CREW REPORTS EMERGENCY EQUIPMENT STOW BIN LOCK BROKEN,REMOVED AND REPLACED EMERGENCY EQUIPTMENT STOW BIN LOCK AT 38ABC OPS CK GOOD REF AMM 25-24-31,TF,76,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21903,B737-900ER,PANEL UNDER SEAT 2E NEEDS TO BE REATTACHED,REATTCHED PANEL AT SEAT 2E,TL,4,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21904,B737-900ER,SEAT CUSHION AT SEATS 27C AND 37C WET,SEAT CUSHION REPLACED,TL,5,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21905,B737-900ER,COFFEEMAKER # 419 REAR RIGHT WILL NOT BREW,"REPLACED COFFEEMAKER #419. OPS CK GOODROTABLE PARTS CHANGE WAS INDICATED - TT # 1613770  SN OFF 03201IPC REFERENCE #COFFEEMAKER, A/  OFF 29-2599-9-0001 8787 ON 29-2599-9-0001 0581",TF,17,Delay>15mins,2530,GALLEYS
21933,B737-900ER,"FOR FDR PURPOSES ONLY, EXPOSED WIRES AT SEAT 38A.",NOTED BY MX.,TA,18,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21934,B737-900ER,FIRST CLASS COFFEE MAKERS LEAKING. CREW VERBAL.,STOPPED LEAK. OPS CHECK OF COFFEE MAKER GOOD.,TL,15,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21935,B737-900ER,"35 E&F SEAT CHUSIONS NEED TO BE REPLACED, WET.",REPLACED SEAT COVERS`,TL,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21936,B737-900ER,AFT GALLEY LEFT TRASH COMPARTMENT ACCESS DOOR BROKEN,"HINGE HAS PULLED THE INSERTS FROM COMPARTMENT, SENT PICTURES TO KENNETH HAMMER @ UNITED.COM",TF,15,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21937,B737-900ER,RED EMERGENCY LIGHT LENS AT SEAT 20C IS LOOSE AND PROTRUDING.EMPLOYEE #238824 INVALID USED 03687 FOR L/P ENTRY.,"REPLACED RED EMERGENCY LIGHT LENS ASSY. AT SEAT 20C, OPERATIONCKS GOOD. IAW AMM 33-51-00.",TA,46,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21938,B737-900ER,"CAPT'S SEATBELT SHOULDER HARNESS RELEASE LEVER INOP, REPEATWRITE UP.",REMOVED AND REPLACED THE BUCKLE HALF OF RESTRAINT SYSTEM AS NEEDED OPS CHECK GOOD. OK TO CONTINUE.,TL,32,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21939,B737-900ER,36B EXPOSED WIRE,SECURED WIRES 36B,TL,26,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21940,B737-900ER,AFT GALLEY INNER TRASH COMPARTMENT DOOR IS BROKEN FROM MOUNT.,SECURED MOUNT REF SRM 51-40-02,TL,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21941,B737-900ER,SEAT 4F TRAY TABLE WILL NOT CTOW COMPLETELY.EMPLOYEE #246690 INVALID. 46590 FOR ENTRY ONLY.,CLEARED TRAY TABLE PATH. OPS CHECKS GOOD.,TL,2,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21942,B737-900ER,FORWARD GALLEY COFF MAKER LEAKING WATER.,RESET FWD GALLEY COFFEE MAKER.OPERATED COFFEE MAKER PER COFFEEMAKER OPERATING INSTRUCTIONS.OPS CHECK OK.NO LEAKS NOTED.NOTE:EMP# WILL NOT ENTER U912233 AND A/P#3718813,TA,8,Delay 6-15mins,2530,GALLEYS
21972,B737-900ER,COFFEE MAKER #420 CAUSED COMPARTMENT #426 TO FLOOD FROM WATERLEAK,CLEANING VENDORS CLEANED ALL AFFACTED COMPARTMENTS .REMOVED AND REINSTALLED BOTH 419 AND 420 COFFEE MAKERS OPS CKS AND LEAK CKS GOOD AT THIS TIME .REF CMM 25.33.05 OK TO CONTINUE,TA,27,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21973,B737-900ER, AED SEAL BROKEN.,REPLACED SEAL.,TL,9,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
21974,B737-900ER,COFFEE MAKER 420 INOP.,"REPLACED COFFEE MAKER REF. MM 25-34-00. OPS. CHECK NORMAL.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1713469  SN OFF 08002COFFEEMAKER, A/  OFF 29-2599-9-0001 8002 ON 29-2599-9-0001 0447",TF,2,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21975,B737-900ER,SEAT 39F HAS WINDOW GRAFATTI ETCHED INTO THE PLEXIGLASS,"REMOVED & REPLACED INTER PANE, OPS CHK NORMAL",TP,4,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
21976,B737-900ER,AFT GALLEY COFFEE MAKER 420 LEAKS.,RESEATED COFFEE MAKER 420. LEAK STOPPED.,TA,2,Delay 0-5mins,2530,GALLEYS
21977,B737-900ER,AFT GALLEY COFFE MAKER LEAKINF ALOT OF WATER.,"RERACKED COFFEE MAKERS, OP. CK'S NORMAL. NO LEAKS NOTED.",TL,18,Delay>15mins,2530,GALLEYS
22001,B737-900ER,DUE TO AFT GALLEY SPILL FA JUMP SEATS ARE NOT USABLE.  WRITTENUP BY U901288.,REF L/P 8181158- AFT GALLEY SPILL PLA REMOVED. CONTRACT CLEANERSPERFORMED DETAILED CLEANING. REF L/P 8181157. PLA REMOVED.,TF,59,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22002,B737-900ER,SEAT CUSHION AT 31D SOILED WITH URINE - NEEDS REPLACING.,REPLACED CUSHION AND COVER AT 31D.,TL,23,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22003,B737-900ER,34A SEAT BELT INOP,REPLACED SEAT BELTS ON 34A AS REQ. OK TO CONTINUE,TL,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22036,B737-900ER,REF LP 8283084 AED MISSING SEAL CLOSED IN ERROR,DRILLED HOLE IN AED CLEAR CASE AND INSTALLED SEAL,TF,35,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22037,B737-900ER,REMOVED DOOR 1R SLIDE ASSY REF AMM 25-66-01-000-801. SLIDE IS BEING REMOVED TO ROB COMP. SLIDE ASSY FOR A/C 0837 PN 416A2200-38E.,"REPLACED SLIDE ASSY PER AMM 25-66-01-400-803ROTABLE PARTS CHANGE WAS INDICATED - TT # 1669847  SN OFF 09071SLIDE, B737NG,   OFF 29-2566-9-0005 9071 ON 29-2566-9-0005 2579",TM,52,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22038,B737-900ER,LOCKING MECHENISM ON AED BROKEN,REMOVED AND REPLACED AED STORAGE CONTAINER. IN REFERENCE WITHAMM 25-24-31,TF,18,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22039,B737-900ER,ARMREST COVER MISSING @ SEAT 21F.,"INSTALLED ARMREST COVER AT 21F, PLACARD REMOVED.",TF,7,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22063,B737-900ER,"SEATS 28D, 29D, 32D DIRTY","REPLACED SEAT COVERS 28D, 29D, 32D",TL,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22064,B737-900ER,DOOR 1L ESCAPE SLIDE DISLODGED FROM BRACKET.,1L ESCAPE SLIDE PACK INSTALLED AND SECURED AMM25-66-01QC116614 PERFORMED RII,TA,26,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22065,B737-900ER,COFFEE MAKER AT POSITION 105 IN FWD GALLY IS INOP,"FWD TO PLAROTABLE PARTS CHANGE WAS INDICATED - TT # 1712470  SN OFF 00453COFFEEMAKER, A/  OFF 29-2599-9-0001 0453 ON 29-2599-9-0001 8862",TF,21,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22066,B737-900ER,COFFEE MAKER 105 IN FWD GALLEY SPEWS WATER.,"REPLACED COFFEEMAKER OPS CHECK GOOD.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1558382  SN OFF 06802COFFEEMAKER, A/  OFF 29-2599-9-0001 6802 ON 29-2599-9-0001 0730COFFEEMAKER, A/  OFF 29-2599-9-0001 8862 ON 29-2599-9-0001 0730",TF,37,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22067,B737-900ER,AFT LAV TOILET PAPER ROLL HOLDER BROKEN.,REPLACED TOILET PAPER HOLDER AT RH AFT LAV,TF,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22068,B737-900ER,MID LAV DOOR DETACHED,REINSTALLED LAV DOOR OK FOR SEVICE,TL,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22100,B737-900ER,WATER OVERFLOW BACK GALLEY.,RESET AFT OUTBOARD COFFEE MAKER. NO LEAKS NOTED.,TA,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22101,B737-900ER,COFFEE MAKER #420 LEAKING,RESEATED. OPS CK GOOD.,TL,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22102,B737-900ER,"AFT GALLEY TRASH ACESS DOOR, INSIDE GALLEY CART AREA, HINGE BROKEN.",RE-GLUED HINGE TO DOOR FRAME.  SYSTEM TEST GOOD.  PLACARD REMOVED.,TL,26,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22103,B737-900ER,AFT LAV COFFEE MAKER OVERFLOWING,"OPS CHECKED OK, NO LEAKS NOTED, CLEANED AND DRYED WATER",TL,29,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22104,B737-900ER,FIRST CLASS PBE NOT VACUUMED SEALED.,REMOVED AND REPLACED PBE HOOD.RE-SEALED PBE COVER.,TA,43,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22105,B737-900ER,AC AFT LEFT LAV NOT FLUSHING,R/R FLUSH SWITCH IAW CMM 25-49-44. OPS CK GOOD. PLACARD REMOVED.,TL,15,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22106,B737-900ER,COFFEE MAKER FWD GALLEY POSITION 106 IS OVERFLOWING, PERFORMED OPERATIONAL TEST OF COFFEE MAKER FWD GALLEY #106OPS CHECK GOOD,TL,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22125,B737-900ER,SEAT BACK POCKET ON 4B IS TORN.,"REPLACED SEAT BACK POCKET LITERATURE BUNGEE ASSY I.A.W IFM 25-23-52, OPS CHECKED OK. PLACARD C/N 726192 REMOVED.",TF,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22126,B737-900ER,SEAT CUSHIONS 36F / 31D NEED REPLACE,INSTALLED SERVICEABLE SEAT CUSHIONS AT SEATS 36F/31D,TA,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22127,B737-900ER,AFT LEFT F/A JUMP SEAT HEAD REST TORN .,REPLACED AFT LEFT F/A JUMPSEAT HEADREST CUSION COVER,TF,43,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22128,B737-900ER,CAPT'S HEIGHT ADJUSTMENT INOP.,"R&R CAPT'S SEAT ASSY PER AMM 25-11-01-000-801  400-801,OPS CK GOOD.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1557353  SN OFF 01666SEAT, CREW, CAP  OFF 29-2510-9-0004 1666 ON 29-2510-9-0004 8295",TA,96,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22129,B737-900ER,SEAT CUSHION 30E WET.,REPLACED SEAT CUSHION AT 30E AS REQUIRED.,TL,7,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22130,B737-900ER,CAPT SIDE KNEE THIGH ADJ ON SEAT IS IN FULL UP AND WILL NOT RETRACT.,"REMOVED AND REPLACED CAPT'S SEAT IAW AMM 25-11-01. WPB N3254.IDT QC914ROTABLE PARTS CHANGE WAS INDICATED - TT # 1557469  SN OFF 01951SEAT, CREW, CAP  OFF 29-2510-9-0004 1951 ON 29-2510-9-0004 4123",TF,32,Delay>15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
22161,B737-900ER,SEAT 5E ARMREST BROKEN.,RESECURED ARMREST.,TA,84,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22162,B737-900ER,METAL TRIM PIECE CAME OFF ARM REST SEAT 5F,"REINSTALLED METAL TRIM AT ARM REST SEAT 5F, OK TO CONTINUE",TL,2,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
22163,B737-900ER,SEAT BELT 10C BROKEN.,RESECURED SEAT BELT ATTACH POINT.OPS CK GOOD.OK TO CONTINUE.,TL,20,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22164,B737-900ER,COCKPIT PBE COVER MISSING-DEFERRED PER TOMC GIARMG.,INSTALLED PBE COVER,TF,20,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22165,B737-900ER,EMERGENECY EXIT ROW 21A ARM REST IS BROKEN /MISSING,REPLCED ARM REST PAD AT 21A REMOVED PLA C/N 732735,TF,7,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22166,B737-900ER,AFT COMP LATCH DOOR INOP.,"REPLACED LATCH, CHKED OK.",TL,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22167,B737-900ER,SEAT 36C SEAT CUSHION MISSING AFTER BEING REPORTED BYCLEANERS.,INSTALLED SEAT CUSHION.,TL,8,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22168,B737-900ER,FWD GALLEY TRASH BIN FLAPPER DOOR NOT CLOSING AND SEALING.,R/R FWD GALLEY TRASH BIN FLAPPER DOOR. OP'S CHECK GOOD AT THIS TIME.,TL,3,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
22169,B737-900ER,WATER LEAK AFT GALLEY,"OPERATED BOTH AFT GALLEY COFFEEMAKERS, NO LEAKS NOTED",TA,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22170,B737-900ER,CARPET THRESHOLD BETWEEN FWD GALLEY & CABINCOMING UP. TRIPHAZARD.,REPLACED THRESHOLD STRIP.,TA,14,Delay 6-15mins,2520,PASSENGER COMPARTMENT
22171,B737-900ER,SEAT CUSHIONS AT 34D&E SOILED (ITEMS CALLED IN AFTER BOARDING,REMOVED AND REPLACED SEAT CUSHION AT 34E AS REQUIRED. 34D HAS BEEN C/W,TL,30,Delay>15mins,2520,PASSENGER COMPARTMENT
22173,B737-900ER,02 MASK IN FLIGHT ATTENDENT DEMO KIT IS INOP.,REPLACED DEMO 02 MASK.,TL,43,Delay>15mins,2560,EMERGENCY EQUIPMENT   
22203,B737-900ER,RAMP REPORTS AFT CARGO PIT LOADING SYS. INOP,SECURED LOADING SYS. OPS. NORMAL.,TL,21,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22204,B737-900ER,AED NOT FLASHING,"REPLACED AEDROTABLE PARTS CHANGE WAS INDICATED - TT # 1390314  SN OFF 00492KIT, DEFIBRILLA  OFF 29-2560-9-9003 0492 ON 29-2560-9-9003 5966",TA,31,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22205,B737-900ER,"COFFEE MAKER POSITION 105, TRAY TABLE IS BROKEN","PER CREW COFFEE BREW TRAY BROKEN NOT TABLE ,REPLACED BROKEN BREW TRAY REF IPC 25-00-00",TL,17,Delay>15mins,2530,GALLEYS
22234,B737-900ER,FOR TDR ONLY. R-1 DOOR SLIDE.REF LOG PAGE 8247187,FOR TDR ONLY,TA,233,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22235,B737-900ER,COFFEE MAKER POSITION 106 INOP,INSPECTED  COFFEE MAKER AT POSITION 106 PERFORMED OPS CHECK SEVERAL TIMES. COFFEE MAKER OPERATES NORMALLY .NO DEFECTS NOTED AT THIS TIME. PLACARD REMOVED,TL,11,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22236,B737-900ER,AFT GALLEY TRASH BIN 402 DOOR OFF HINGE.,ADHESIVE SECURED TRIMMING FOR HINGE TO BE SECURED TO PANEL. SECURED O.K.OPS .,TF,8,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22237,B737-900ER,STETHESCOPE USED.,REMOVED AND REPLACED STETHESCOPE B/P CUFF. OK TO CONTINUE,TF,16,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22238,B737-900ER,EMERGANCY SLIDE DIFFICULT TO PLACE IN ITS DISARM HANGER FORWARDDOOR RIGHT SIDE.  EMP#261547 MADE WRITE-UP,"REMOVED R-1 DOOR SLIDE PER M/M 25-66-01-000-801 REPOSITIONED SLIDE PACK IN SLIDE COMPARTMENT, REINSTALLED SLIDE PER M/M 25-66-01-400-803. OPS. CK'D GOOD.",TL,8,Delay 6-15mins,2560,EMERGENCY EQUIPMENT   
22278,B737-900ER,LATCH ON CPFFEE POT (AFT GALLEY) WILL NOT SECURE.,R/R RETAINER AT COMPT 403. OPS CK GOOD. WPB: U330712.,TL,20,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22279,B737-900ER,CAPTS SEATBELT FAILS TO LATCH SOME POINTS,REPLACED CAPT SEAT BELT BUCKLE ASSY REF AMM 25-11-00-200-802OPS CK GOOD,TP,104,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22280,B737-900ER,AED SEAL BROKEN,REPLACED SEAL FOR AED,TF,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22281,B737-900ER,3E ARM REST FWD SURFACE METAL PLATE NEEDS TO BE SECURED.,INSTALLED ARM REST FWD CAP ON SEAT 3E,TA,25,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22317,B737-900ER,"AED SHRINK RAP MISSING.*NOTE* PER SCEPTRE, FLIGHT CREW EMPLOYEE #U214995 IS INVALID","R/R'D AUTOMATIC EMERGENCY DEFIBRILLATOR.  VERIFIED THAT ALLOTHER CONTENTS IN THE EMERGENCY MEDICAL BOX ARE IN SERVICEABLECONDITION.  LOCKED MEDICAL BOX & SEALED WITH A YELLOW ""ZIP TIE""SEAL.  A/C O.K. FOR CONTINUED SERVICE.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1399826  SN OFF 05921KIT, DEFIBRILLA  OFF 29-2560-9-9003 5921 ON 29-2560-9-9003 0889",TA,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
22318,B737-900ER,"NEED SEAT CUSHION 28B, SOILED.",CLEANED AS REQ. SEAT 28B.,TL,9,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
